School,Year,M1,M4
TUPKhonkaen,2558,76,75
TUPKhonkaen,2559,69,105
TUPKhonkaen,2560,96,66
TUPKhonkaen,2651,114,180
TUPKhonkaen,2652,93,72
TUPKhelangnakhorn,2558,260,121
TUPKhelangnakhorn,2559,252,153
TUPKhelangnakhorn,2560,266,136
TUPKhelangnakhorn,2561,245,136
TUPKhelangnakhorn,2562,199,125
TUPChaingrai,2558,89,52
TUPChaingrai,2559,127,110
TUPChaingrai,2560,157,69
TUPChaingrai,2561,89,52
TUPChaingrai,2562,88,34
TUPSaraburi,2558,77,48
TUPSaraburi,2559,84,51
TUPSaraburi,2560,85,59
TUPSaraburi,2561,81,69
TUPSaraburi,2562,109,60
TUPSuratani,2558,208,89
TUPSuratani,2559,230,87
TUPSuratani,2560,238,94
TUPSuratani,2561,261,104
TUPSuratani,2562,267,146
TUPUdontani,2558,296,168
TUPUdontani,2559,361,211
TUPUdontani,2560,382,291
TUPUdontani,2561,383,170
TUPUdontani,2562,373,318
TUPUbonratchatani,2558,296,168
TUPUbonratchatani,2559,361,211
TUPUbonratchatani,2560,382,291
TUPUbonratchatani,2561,383,170
TUPUbonratchatani,2562,344,242
TUPPhathumtani ,2558,476,381
TUPPhathumtani ,2559,482,318
TUPPhathumtani ,2560,463,346
TUPPhathumtani ,2561,423,354
TUPPhathumtani ,2562,465,381
TUPPranburi,2558,272,114
TUPPranburi,2559,322,130
TUPPranburi,2560,306,131
TUPPranburi,2561,310,145
TUPPranburi,2562,339,195
TUP Pattanakarn,2558,743,726
TUP Pattanakarn,2559,734,701
TUP Pattanakarn,2560,739,741
TUP Pattanakarn,2561,671,703
TUP Pattanakarn,2562,682,746
TUP Ratchada,2558,478,407
TUP Ratchada,2559,481,404
TUP Ratchada,2560,480,372
TUP Ratchada,2561,442,393
TUP Ratchada,2562,480,434
TUPRatburi,2558,52,51
TUPRatburi,2559,24,23
TUPRatburi,2560,41,41
TUPRatburi,2561,41,17
TUPRatburi,2562,33,17
TUPSuvarnabumi,2558,182,144
TUPSuvarnabumi,2559,169,173
TUPSuvarnabumi,2560,310,165
TUPSuvarnabumi,2561,428,189
TUPSuvarnabumi,2562,392,205
"TUPChachoengsao
",2558,38,17
"TUPChachoengsao
",2559,30,11
"TUPChachoengsao
",2560,26,9
"TUPChachoengsao
",2561,30,21
"TUPChachoengsao
",2562,23,23
TUPNonthabhuri,2558,665,433
TUPNonthabhuri,2559,674,442
TUPNonthabhuri,2560,670,445
TUPNonthabhuri,2561,593,458
TUPNonthabhuri,2562,648,450
TUPnavamin,2558,454,420
TUPnavamin,2559,430,400
TUPnavamin,2560,438,401
TUPnavamin,2561,424,361
TUPnavamin,2562,474,414
TUPRoiet,2558,123,118
TUPRoiet,2559,170,138
TUPRoiet,2560,187,125
TUPRoiet,2561,172,82
TUPRoiet,2562,140,114
